time,topic,depth,speed,target_depth,target_speed,cmd_forward,cmd_vertical,cmd_yaw_rate
1781514754.1924336,/auv/state,0.10119570109554843,0.038164272792114984,,,,,
1781514754.192725,/guidance/setpoint,,,2.0,0.0,,,
1781514754.1928732,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.2145162,/auv/state,0.10147389077978299,0.038164272792114984,,,,,
1781514754.2148416,/guidance/setpoint,,,2.0,0.0,,,
1781514754.2149315,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.2250907,/auv/state,0.10190659543604852,0.03912352658405385,,,,,
1781514754.2252953,/guidance/setpoint,,,2.0,0.0,,,
1781514754.2254102,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.2463322,/guidance/setpoint,,,2.0,0.0,,,
1781514754.246516,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.2482655,/auv/state,0.10063852292250004,0.03912352658405385,,,,,
1781514754.26606,/auv/state,0.10401392422625709,0.04051367680688571,,,,,
1781514754.2662995,/guidance/setpoint,,,2.0,0.0,,,
1781514754.2664514,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.2878578,/auv/state,0.10434441400639116,0.04140639617452767,,,,,
1781514754.288072,/guidance/setpoint,,,2.0,0.0,,,
1781514754.2882175,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3075948,/auv/state,0.10322449129603872,0.04140639617452767,,,,,
1781514754.3077862,/guidance/setpoint,,,2.0,0.0,,,
1781514754.3079236,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3277786,/auv/state,0.10658793053289628,0.028597473205837193,,,,,
1781514754.3279364,/guidance/setpoint,,,2.0,0.0,,,
1781514754.3280437,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3484766,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3492048,/auv/state,0.10553944987812384,0.028597473205837193,,,,,
1781514754.3493483,/guidance/setpoint,,,2.0,0.0,,,
1781514754.3707502,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3728795,/auv/state,0.10399235515243746,0.02914282663428972,,,,,
1781514754.3731146,/guidance/setpoint,,,2.0,0.0,,,
1781514754.3909342,/guidance/setpoint,,,2.0,0.0,,,
1781514754.3911097,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.3929482,/auv/state,0.10696720436817486,0.02448449163621483,,,,,
1781514754.4110014,/auv/state,0.10812609703845791,0.02448449163621483,,,,,
1781514754.4111435,/guidance/setpoint,,,2.0,0.0,,,
1781514754.4112184,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.4324148,/guidance/setpoint,,,2.0,0.0,,,
1781514754.4325025,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.43335,/auv/state,0.10748649244987973,0.024939252816438377,,,,,
1781514754.4740543,/guidance/setpoint,,,2.0,0.0,,,
1781514754.4741464,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.4757676,/auv/state,0.10608194076751054,0.024939252816438377,,,,,
1781514754.47596,/guidance/setpoint,,,2.0,0.0,,,
1781514754.4760194,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.4777434,/auv/state,0.10637520064502977,0.02432799256613351,,,,,
1781514754.4972515,/auv/state,0.10786459909786572,0.024916633221631873,,,,,
1781514754.4973996,/guidance/setpoint,,,2.0,0.0,,,
1781514754.497495,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.5169432,/auv/state,0.10418274939182975,0.024916633221631873,,,,,
1781514754.5171354,/guidance/setpoint,,,2.0,0.0,,,
1781514754.5172703,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.5369742,/auv/state,0.10595946436887971,0.008702322666703618,,,,,
1781514754.5371675,/guidance/setpoint,,,2.0,0.0,,,
1781514754.5373094,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.5579767,/auv/state,0.09999663103368447,0.008702322666703618,,,,,
1781514754.558257,/guidance/setpoint,,,2.0,0.0,,,
1781514754.5583546,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.579813,/guidance/setpoint,,,2.0,0.0,,,
1781514754.5799809,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514754.5814874,/auv/state,0.11015709525441905,0.00884546783993676,,,,,
1781514754.599547,/auv/state,0.10517271475646339,0.015507529606709342,,,,,
1781514754.5997355,/guidance/setpoint,,,2.0,0.0,,,
