t,navigation_valid,navigation_degraded,failsafe,dvl_ok
13.335,True,False,False,True
13.376,True,False,False,True
13.413,True,False,False,True
13.454,True,False,False,True
13.489,True,False,False,True
13.522,True,False,False,True
13.555,True,False,False,True
13.594,True,False,False,True
13.635,True,False,False,True
13.67,True,False,False,True
13.712,True,False,False,True
13.749,True,False,False,True
13.794,True,False,False,True
13.83,True,False,False,True
13.870000000000001,True,False,False,True
13.917,True,False,False,True
13.957,True,False,False,True
14.003,True,False,False,True
14.054,True,False,False,True
14.101,True,False,False,True
14.148,True,False,False,True
14.189,True,False,False,True
14.235,True,False,False,True
14.281,True,False,False,True
14.326,True,False,False,True
14.368,True,False,False,True
14.412,True,False,False,True
14.455,True,False,False,True
14.501,True,False,False,True
14.544,True,False,False,True
14.59,True,False,False,True
14.637,True,False,False,True
14.68,True,False,False,True
14.722,True,False,False,True
14.762,True,False,False,True
14.806000000000001,True,False,False,True
14.851,True,False,False,True
14.899000000000001,True,False,False,True
14.936,True,False,False,True
14.975,True,False,False,True
15.013,True,False,False,True
15.051,True,False,False,True
15.1,True,False,False,True
15.147,True,False,False,True
15.19,True,False,False,True
15.237,True,False,False,True
15.279,True,False,False,True
15.326,True,False,False,True
15.372,True,False,False,True
15.412,True,False,False,True
15.453,True,False,False,True
15.497,True,False,False,True
15.542,True,False,False,True
15.586,True,False,False,True
15.635,True,False,False,True
15.677,True,False,False,True
15.72,True,False,False,True
15.767,True,False,False,True
15.81,True,False,False,True
15.853,True,False,False,True
15.9,True,False,False,True
15.947,True,False,False,True
15.993,True,False,False,True
16.04,True,False,False,True
16.089,True,False,False,True
16.132,True,False,False,True
16.175,True,False,False,True
16.225,True,False,False,True
16.26,True,False,False,True
16.305,True,False,False,True
16.345,True,False,False,True
16.39,True,False,False,True
16.435,True,False,False,True
16.479,True,False,False,True
16.523,True,False,False,True
16.568,True,False,False,True
16.614,True,False,False,True
16.658,True,False,False,True
16.701,True,False,False,True
16.75,True,False,False,True
16.795,True,False,False,True
16.838,True,False,False,True
16.888,True,False,False,True
16.929,True,False,False,True
16.976,True,False,False,True
17.013,True,False,False,True
17.058,True,False,False,True
17.104,True,False,False,True
17.153,True,False,False,True
17.195,True,False,False,True
17.231,True,False,False,True
17.27,True,False,False,True
17.316,True,False,False,True
17.359,True,False,False,True
17.399,True,False,False,True
17.442,True,False,False,True
17.479,True,False,False,True
17.514,True,False,False,True
17.557,True,False,False,True
17.601,True,False,False,True
17.642,True,False,False,True
17.689,True,False,False,True
17.737000000000002,True,False,False,True
17.775,True,False,False,True
17.82,True,False,False,True
17.858,True,False,False,True
17.903,True,False,False,True
17.952,True,False,False,True
17.996,True,False,False,True
