time,topic,depth,speed,target_depth,target_speed,cmd_forward,cmd_vertical,cmd_yaw_rate
1781556637.5901194,/auv/state,0.09911484426397688,0.12289506100584942,,,,,
1781556637.5903628,/guidance/setpoint,,,0.09911484426397688,0.0,,,
1781556637.5904825,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.6174755,/auv/state,0.09960120271171036,0.1249316223525109,,,,,
1781556637.6210463,/auv/state,0.09644869100666775,0.1249316223525109,,,,,
1781556637.6218095,/guidance/setpoint,,,0.09960120271171036,0.0,,,
1781556637.621969,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.6261702,/auv/state,0.10121028741308874,0.10563997326502604,,,,,
1781556637.6264932,/guidance/setpoint,,,0.09644869100666775,0.0,,,
1781556637.62666,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.6445303,/auv/state,0.10124290504290911,0.10724020489157673,,,,,
1781556637.644751,/guidance/setpoint,,,0.10121028741308874,0.0,,,
1781556637.6448894,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.6709473,/auv/state,0.09518969636551544,0.10724020489157673,,,,,
1781556637.6711411,/guidance/setpoint,,,0.10124290504290911,0.0,,,
1781556637.6713257,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.693154,/auv/state,0.09791822108627457,0.13907971825586446,,,,,
1781556637.6933467,/guidance/setpoint,,,0.09518969636551544,0.0,,,
1781556637.6934602,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.7142818,/auv/state,0.10115531215545641,0.13907971825586446,,,,,
1781556637.7145944,/guidance/setpoint,,,0.09791822108627457,0.0,,,
1781556637.7147048,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.7410655,/auv/state,0.09580893191334147,0.14105287580039763,,,,,
1781556637.741263,/guidance/setpoint,,,0.10115531215545641,0.0,,,
1781556637.741372,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556637.7603571,/auv/state,0.09723421746775784,0.12507711673594857,,,,,
1781556637.760555,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
