time,topic,depth,speed,target_depth,target_speed,cmd_forward,cmd_vertical,cmd_yaw_rate
1781556739.4076655,/auv/state,0.09701017288944058,0.11421366348849075,,,,,
1781556739.4079428,/guidance/setpoint,,,2.0,0.0,,,
1781556739.4081097,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.4435794,/auv/state,0.10008912368622938,0.11421366348849075,,,,,
1781556739.4442704,/guidance/setpoint,,,2.0,0.0,,,
1781556739.44449,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.44971,/auv/state,0.09465306379650198,0.11607141002560264,,,,,
1781556739.449934,/guidance/setpoint,,,2.0,0.0,,,
1781556739.450124,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.4656465,/auv/state,0.09594599349611599,0.09897397568313931,,,,,
1781556739.4659605,/guidance/setpoint,,,2.0,0.0,,,
1781556739.46612,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.486378,/auv/state,0.09975687823682348,0.09897397568313931,,,,,
1781556739.4866111,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.4888482,/guidance/setpoint,,,2.0,0.0,,,
1781556739.5054092,/guidance/setpoint,,,2.0,0.0,,,
1781556739.505576,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.5066876,/auv/state,0.0992225249360672,0.1007244186243004,,,,,
1781556739.5489144,/guidance/setpoint,,,2.0,0.0,,,
1781556739.551951,/auv/state,0.09554950002095283,0.1007244186243004,,,,,
1781556739.5525155,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.58146,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.5842018,/auv/state,0.09963348899604185,0.114577418787658,,,,,
1781556739.5844622,/guidance/setpoint,,,2.0,0.0,,,
1781556739.607281,/guidance/setpoint,,,2.0,0.0,,,
1781556739.6074734,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.609574,/auv/state,0.09779916253501142,0.11657454663562405,,,,,
1781556739.6331353,/auv/state,0.1010991046046961,0.11657454663562405,,,,,
1781556739.6333983,/guidance/setpoint,,,2.0,0.0,,,
1781556739.6335752,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.653422,/auv/state,0.09947625390441317,0.1311372874690786,,,,,
1781556739.6536877,/guidance/setpoint,,,2.0,0.0,,,
1781556739.653853,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.7030687,/auv/state,0.09834981439893116,0.1311372874690786,,,,,
1781556739.7033408,/guidance/setpoint,,,2.0,0.0,,,
1781556739.7034416,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.706436,/auv/state,0.09866798055747113,0.1330891919407212,,,,,
1781556739.706695,/guidance/setpoint,,,2.0,0.0,,,
1781556739.706771,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.7228856,/auv/state,0.10101467615368165,0.12600695270471643,,,,,
1781556739.723171,/guidance/setpoint,,,2.0,0.0,,,
1781556739.7233524,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.74273,/auv/state,0.10396328793640916,0.12600695270471643,,,,,
1781556739.7430215,/guidance/setpoint,,,2.0,0.0,,,
1781556739.743204,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.768414,/auv/state,0.1011843468254483,0.12808431123739444,,,,,
1781556739.7685986,/guidance/setpoint,,,2.0,0.0,,,
1781556739.7687168,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.789265,/guidance/setpoint,,,2.0,0.0,,,
1781556739.7916336,/auv/state,0.09669858870301003,0.12808431123739444,,,,,
1781556739.792076,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.8156106,/auv/state,0.10062970033971162,0.15155611478678394,,,,,
1781556739.8159106,/guidance/setpoint,,,2.0,0.0,,,
1781556739.8160996,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.835719,/auv/state,0.10090828499005511,0.1540972748491727,,,,,
1781556739.8359904,/guidance/setpoint,,,2.0,0.0,,,
1781556739.8361616,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.8602734,/auv/state,0.10181948263906153,0.1540972748491727,,,,,
1781556739.8606782,/guidance/setpoint,,,2.0,0.0,,,
1781556739.8609312,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.8846598,/auv/state,0.10106742097605093,0.15111156968109343,,,,,
1781556739.884973,/guidance/setpoint,,,2.0,0.0,,,
1781556739.8852286,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.9045532,/auv/state,0.1025361681962095,0.15111156968109343,,,,,
1781556739.9049926,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.907096,/guidance/setpoint,,,2.0,0.0,,,
1781556739.9263933,/guidance/setpoint,,,0.1025361681962095,0.0,,,
1781556739.9278722,/auv/state,0.09971104042163291,0.15319180221796597,,,,,
1781556739.9280818,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.9464788,/auv/state,0.1023588087546159,0.15779907004990715,,,,,
1781556739.9467587,/guidance/setpoint,,,0.09971104042163291,0.0,,,
1781556739.946928,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781556739.966444,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
