Ölçüm,Örnek sayısı,Minimum,Ortalama,Maksimum,Standart sapma
battery_current_a,1982,2.385432243347168,2.387952616067996,2.3883237838745117,0.0004743796689097571
battery_percentage,1982,0.7870691418647766,0.8684361872049923,0.947986364364624,0.0468108396225238
battery_voltage_v,1982,25.12195587158203,25.124407933771188,25.126869201660156,0.0014146580435964848
dvl_altitude_m,552,9.111218452453613,9.112863521645034,9.1133451461792,0.00023568015146172814
dvl_good_beams,552,3.0,3.0,3.0,0.0
dvl_quality_speed_mps,590,0.0011881712112847735,0.016255521955747587,0.039179479800009694,0.007454256153560156
dvl_speed_mps,552,0.0011881712112847735,0.015832312060155725,0.039179479800009694,0.007268722699623806
dvl_velocity_x_mps,552,-0.03805051414459578,-0.0006879606662690028,0.033434421852994285,0.012384473705397072
dvl_velocity_y_mps,552,-0.032513943465662214,-0.00107179369954312,0.0303331970356673,0.011480796989380393
dvl_velocity_z_mps,552,-0.02076092774256423,9.600831890387784e-06,0.016085694350067823,0.004140338244887721
imu_accel_x_mps2,7779,-0.112,0.05729026867206582,0.28400000000000003,0.04924973822796498
imu_accel_y_mps2,7779,-0.183,0.013877105026353002,0.201,0.04879678331897391
imu_accel_z_mps2,7779,9.52,9.830570896002056,10.075000000000001,0.05872608100963479
imu_gyro_x_radps,7779,0.00475,0.008735473711273943,0.01225,0.0010085921393433088
imu_gyro_y_radps,7779,-0.01725,-0.00048184213909242834,0.01725,0.0027873725222053213
imu_gyro_z_radps,7779,-0.0055,-0.002321988687491966,0.00075,0.0008810332779167135
pressure_depth_m,1849,0.0929596454538418,0.10009279942459032,0.1072026267209287,0.0020622151982611393
pressure_pa,1821,102236.93412190219,102306.94993781344,102376.65776813231,20.173990634412167
