t,signal,value
0.0,dvl_quality_speed_mps,0.025119355559998172
0.027764081954956055,imu_accel_x_mps2,0.018000000000000002
0.027764081954956055,imu_accel_y_mps2,0.009000000000000001
0.027764081954956055,imu_accel_z_mps2,9.938
0.027764081954956055,imu_gyro_x_radps,0.00875
0.027764081954956055,imu_gyro_y_radps,0.0022500000000000003
0.027764081954956055,imu_gyro_z_radps,-0.00175
0.03252220153808594,imu_accel_x_mps2,0.049
0.03252220153808594,imu_accel_y_mps2,0.01
0.03252220153808594,imu_accel_z_mps2,9.923
0.03252220153808594,imu_gyro_x_radps,0.00925
0.03252220153808594,imu_gyro_y_radps,-0.001
0.03252220153808594,imu_gyro_z_radps,-0.0022500000000000003
0.03751349449157715,imu_accel_x_mps2,0.067
0.03751349449157715,imu_accel_y_mps2,0.036000000000000004
0.03751349449157715,imu_accel_z_mps2,9.927
0.03751349449157715,imu_gyro_x_radps,0.01
0.03751349449157715,imu_gyro_y_radps,-0.00175
0.03751349449157715,imu_gyro_z_radps,-0.0032500000000000003
0.04247283935546875,imu_accel_x_mps2,0.039
0.04247283935546875,imu_accel_y_mps2,0.065
0.04247283935546875,imu_accel_z_mps2,9.953
0.04247283935546875,imu_gyro_x_radps,0.0085
0.04247283935546875,imu_gyro_y_radps,-0.0015
0.04247283935546875,imu_gyro_z_radps,-0.0032500000000000003
0.04770302772521973,imu_accel_x_mps2,-0.03
0.04770302772521973,imu_accel_y_mps2,0.088
0.04770302772521973,imu_accel_z_mps2,9.904
0.04770302772521973,imu_gyro_x_radps,0.00875
0.04770302772521973,imu_gyro_y_radps,-0.00175
0.04770302772521973,imu_gyro_z_radps,-0.00375
0.05254983901977539,imu_accel_x_mps2,0.115
0.05254983901977539,imu_accel_y_mps2,0.019
0.05254983901977539,imu_accel_z_mps2,9.944
0.05254983901977539,imu_gyro_x_radps,0.00675
0.05254983901977539,imu_gyro_y_radps,-0.002
0.05254983901977539,imu_gyro_z_radps,-0.0015
0.057775020599365234,imu_accel_x_mps2,-0.08
0.057775020599365234,imu_accel_y_mps2,0.048
0.057775020599365234,imu_accel_z_mps2,9.962
0.057775020599365234,imu_gyro_x_radps,0.00925
0.057775020599365234,imu_gyro_y_radps,-0.0025
0.057775020599365234,imu_gyro_z_radps,-0.0032500000000000003
0.06255698204040527,imu_accel_x_mps2,0.003
0.06255698204040527,imu_accel_y_mps2,0.14
0.06255698204040527,imu_accel_z_mps2,9.950000000000001
0.06255698204040527,imu_gyro_x_radps,0.01025
0.06255698204040527,imu_gyro_y_radps,-0.0025
0.06255698204040527,imu_gyro_z_radps,-0.00075
0.07015442848205566,dvl_quality_speed_mps,0.021970941746174737
0.07068681716918945,imu_accel_x_mps2,0.08
0.07068681716918945,imu_accel_y_mps2,0.025
0.07068681716918945,imu_accel_z_mps2,9.972
0.07068681716918945,imu_gyro_x_radps,0.01
0.07068681716918945,imu_gyro_y_radps,-0.0015
0.07068681716918945,imu_gyro_z_radps,-0.0022500000000000003
0.07564258575439453,imu_accel_x_mps2,0.016
0.07564258575439453,imu_accel_y_mps2,-0.045
0.07564258575439453,imu_accel_z_mps2,9.895
0.07564258575439453,imu_gyro_x_radps,0.01025
0.07564258575439453,imu_gyro_y_radps,-0.002
0.07564258575439453,imu_gyro_z_radps,-0.0025
0.08057999610900879,imu_accel_x_mps2,0.075
0.08057999610900879,imu_accel_y_mps2,0.06
0.08057999610900879,imu_accel_z_mps2,9.955
0.08057999610900879,imu_gyro_x_radps,0.01
0.08057999610900879,imu_gyro_y_radps,-0.0022500000000000003
0.08057999610900879,imu_gyro_z_radps,-0.0025
0.08562302589416504,imu_accel_x_mps2,0.067
0.08562302589416504,imu_accel_y_mps2,0.074
0.08562302589416504,imu_accel_z_mps2,10.002
0.08562302589416504,imu_gyro_x_radps,0.00925
0.08562302589416504,imu_gyro_y_radps,-0.00475
0.08562302589416504,imu_gyro_z_radps,-0.00175
0.09059476852416992,imu_accel_x_mps2,0.099
0.09059476852416992,imu_accel_y_mps2,0.105
0.09059476852416992,imu_accel_z_mps2,9.896
0.09059476852416992,imu_gyro_x_radps,0.009000000000000001
0.09059476852416992,imu_gyro_y_radps,-0.00375
0.09059476852416992,imu_gyro_z_radps,-0.0005
0.09650373458862305,imu_accel_x_mps2,0.034
0.09650373458862305,imu_accel_y_mps2,-0.013000000000000001
0.09650373458862305,imu_accel_z_mps2,9.885
0.09650373458862305,imu_gyro_x_radps,0.00825
0.09650373458862305,imu_gyro_y_radps,-0.0032500000000000003
0.09650373458862305,imu_gyro_z_radps,-0.0005
0.10040116310119629,imu_accel_x_mps2,0.033
0.10040116310119629,imu_accel_y_mps2,-0.011
0.10040116310119629,imu_accel_z_mps2,9.957
0.10040116310119629,imu_gyro_x_radps,0.00975
0.10040116310119629,imu_gyro_y_radps,-0.0055
0.10040116310119629,imu_gyro_z_radps,-0.003
0.10571813583374023,imu_accel_x_mps2,0.117
0.10571813583374023,imu_accel_y_mps2,-0.014
0.10571813583374023,imu_accel_z_mps2,9.923
0.10571813583374023,imu_gyro_x_radps,0.01025
0.10571813583374023,imu_gyro_y_radps,-0.0045000000000000005
0.10571813583374023,imu_gyro_z_radps,-0.00025
0.11056780815124512,imu_accel_x_mps2,0.036000000000000004
0.11056780815124512,imu_accel_y_mps2,0.012
0.11056780815124512,imu_accel_z_mps2,9.945
0.11056780815124512,imu_gyro_x_radps,0.00825
0.11056780815124512,imu_gyro_y_radps,-0.00425
0.11056780815124512,imu_gyro_z_radps,-0.00175
0.11572027206420898,imu_accel_x_mps2,0.01
0.11572027206420898,imu_accel_y_mps2,-0.009000000000000001
0.11572027206420898,imu_accel_z_mps2,9.928
0.11572027206420898,imu_gyro_x_radps,0.00975
0.11572027206420898,imu_gyro_y_radps,-0.0075
0.11572027206420898,imu_gyro_z_radps,-0.00175
0.1205751895904541,imu_accel_x_mps2,0.035
0.1205751895904541,imu_accel_y_mps2,0.042
0.1205751895904541,imu_accel_z_mps2,9.917
0.1205751895904541,imu_gyro_x_radps,0.00975
0.1205751895904541,imu_gyro_y_radps,-0.0075
0.1205751895904541,imu_gyro_z_radps,-0.00075
0.12634515762329102,imu_accel_x_mps2,0.085
0.12634515762329102,imu_accel_y_mps2,-0.024
0.12634515762329102,imu_accel_z_mps2,9.942
0.12634515762329102,imu_gyro_x_radps,0.0105
0.12634515762329102,imu_gyro_y_radps,-0.0085
0.12634515762329102,imu_gyro_z_radps,-0.0022500000000000003
0.13131999969482422,imu_accel_x_mps2,-0.08700000000000001
0.13131999969482422,imu_accel_y_mps2,0.082
0.13131999969482422,imu_accel_z_mps2,9.954
0.13131999969482422,imu_gyro_x_radps,0.0095
0.13131999969482422,imu_gyro_y_radps,-0.00775
0.13131999969482422,imu_gyro_z_radps,-0.002
0.1412525177001953,imu_accel_x_mps2,-0.057
0.1412525177001953,imu_accel_y_mps2,-0.051000000000000004
0.1412525177001953,imu_accel_z_mps2,9.948
0.1412525177001953,imu_gyro_x_radps,0.0075
0.1412525177001953,imu_gyro_y_radps,-0.00825
0.1412525177001953,imu_gyro_z_radps,-0.0005
0.14503049850463867,dvl_quality_speed_mps,0.025813398232727075
0.14812231063842773,imu_accel_x_mps2,0.083
0.14812231063842773,imu_accel_y_mps2,0.056
0.14812231063842773,imu_accel_z_mps2,9.94
0.14812231063842773,imu_gyro_x_radps,0.0085
0.14812231063842773,imu_gyro_y_radps,-0.009000000000000001
0.14812231063842773,imu_gyro_z_radps,-0.002
0.15192413330078125,imu_accel_x_mps2,-0.008
0.15192413330078125,imu_accel_y_mps2,0.039
0.15192413330078125,imu_accel_z_mps2,9.901
0.15192413330078125,imu_gyro_x_radps,0.00925
0.15192413330078125,imu_gyro_y_radps,-0.00875
0.15192413330078125,imu_gyro_z_radps,-0.004
0.15695714950561523,imu_accel_x_mps2,0.021
0.15695714950561523,imu_accel_y_mps2,-0.004
0.15695714950561523,imu_accel_z_mps2,9.914
0.15695714950561523,imu_gyro_x_radps,0.01125
0.15695714950561523,imu_gyro_y_radps,-0.00875
